Portfolio,Total Return,CAGR,Annualised Volatility,Sharpe Ratio (Rf = 0%),Maximum Drawdown
SPY,0.8573896868954027,0.09259276936436955,0.225324133536335,0.5055393668500546,-0.4716522695710115
IEF,0.440084450552102,0.053543652173172696,0.07497420134277527,0.733213397993335,-0.10401293055917782
TLT,0.6133796970392347,0.07080487704647642,0.16265989640917597,0.5018669924757527,-0.26585359983329593
EFA,0.15706531011666747,0.021083829370247997,0.2739680461332791,0.2128384921096799,-0.5278919207161439
EEM,0.01975989435020753,0.002802406865245688,0.3555384621893413,0.18383029727025402,-0.5892586715780315
LQD,0.5467578447493364,0.06436613456576401,0.09727611683141717,0.6901048208538461,-0.19511957121187373
GLD,0.21211008905821127,0.02789351833214493,0.20467429146139235,0.23681055155835734,-0.40522236798489475
DBC,-0.5989710430920319,-0.12250131857135182,0.2087150824443577,-0.5213164020115898,-0.6323192654556515
UUP,0.12085421447782352,0.01645107983486982,0.09200752318810015,0.2233374101919373,-0.22190942713485395
VNQ,0.7334328816548252,0.08185315356597922,0.397717659520967,0.39666985131399696,-0.6612505922564678
